instance;EE-IT_runtime;EE-ITSCC_runtime;EE-PROC_runtime;EE-NIT_runtime
BA_100_0_4;0.040327209047973156;0.02211123611778021;0.023261726833879948;0.03916540369391441
BA_100_60_1;0.043768325354903936;0.037883647717535496;0.03619370283558965;0.22053537610918283
BA_100_80_5;0.04317615833133459;0.04123366344720125;0.1717904252000153;400
BA_100_90_1;0.042684273794293404;0.040592208970338106;0.2729861680418253;400
BA_120_10_2;0.026604690123349428;0.03963536210358143;0.023558491840958595;0.07383273215964437
BA_120_20_1;0.025712014641612768;0.02517493860796094;0.022739396896213293;0.04064320167526603
BA_120_20_2;0.023719921242445707;0.023411916103214025;0.03826917801052332;0.07351667201146483
BA_140_0_5;0.025884626898914576;0.037490400951355696;0.04056819109246135;0.07334633311256766
BA_140_20_4;0.02505088923498988;0.041362165939062834;0.040185580030083656;0.07326349196955562
BA_140_80_2;0.04046484036371112;0.04056682111695409;0.07264028210192919;9.153771237004548
BA_140_90_5;0.04271462792530656;0.0383725268766284;0.1736454451456666;400
BA_160_0_2;0.043176697101444006;0.04113519983366132;0.04803861305117607;0.0772168361581862
BA_160_20_3;0.04221582505851984;0.040456900373101234;0.04030356090515852;0.07354285893961787
BA_160_40_2;0.04307553404942155;0.040717963129282;0.0706237880513072;400
BA_160_40_3;0.04361953167244792;0.040194281842559576;0.07295285491272807;400
BA_160_50_1;0.04293243493884802;0.040629119612276554;0.07325212098658085;310.29786063497886
BA_160_60_1;0.04307262785732746;0.040171442087739706;0.1232530390843749;400
BA_160_60_4;0.04292263509705663;0.040027573239058256;0.07250960357487202;400
BA_160_70_1;0.042626751121133566;0.04048512317240238;0.32410128600895405;400
BA_160_90_2;0.042827267199754715;0.040295294020324945;0.17319771274924278;400
BA_180_30_1;0.04207856487482786;0.03955714078620076;0.04033683240413666;0.12152892164885998
BA_180_40_4;0.042039716616272926;0.03949040686711669;0.04024543333798647;1.0737365181557834
BA_180_80_5;0.041910876985639334;0.07295020902529359;0.07290906691923738;400
BA_200_0_2;0.04318822082132101;0.04097502026706934;0.04059982905164361;0.06874179979786277
BA_200_0_4;0.04231160273775458;0.0375671717338264;0.038620282895863056;0.07202847022563219
ER_100_100_5;0.07511340919882059;0.039970175828784704;0.07265076693147421;0.03916540369391441
ER_100_100_7;0.04329842468723655;0.07280832342803478;0.0728167830966413;0.22053537610918283
ER_100_30_5;0.042494517751038074;0.07300786906853318;0.07288985140621662;400
ER_100_80_10;0.07490802882239223;0.07267437502741814;0.0728093171492219;400
ER_200_10_2;0.32582597667351365;0.323791213799268;0.3238765220157802;0.07383273215964437
ER_200_20_3;3.4876539460383356;3.4359601512551308;3.4851947049610317;0.04064320167526603
ER_200_20_6;4.092196043115109;4.298991992138326;4.288433311972767;0.07351667201146483
ER_200_30_5;3.088226309977472;3.286430795211345;3.2854865011759102;0.07334633311256766
ER_200_60_6;0.42845509061589837;0.4264882057905197;0.4250290277414024;0.07326349196955562
ER_200_80_5;0.17662761313840747;0.1742171561345458;0.1731411791406572;9.153771237004548
ER_300_10_9;400;400;400;400
ER_300_20_2;400;400;400;0.0772168361581862
ER_300_30_7;190.9883365156129;165.76391965523362;160.95234033232555;0.07354285893961787
ER_300_30_8;190.12917484575883;185.66707195714116;183.63981899619102;400
ER_300_60_5;3.640811970923096;4.288949865847826;4.296781996730715;400
ER_300_80_2;0.5776202790439129;0.5760422646999359;0.5782865500077605;310.29786063497886
ER_300_90_2;0.22739017428830266;0.2750232992693782;0.2763420669361949;400
ER_400_20_9;400;400;400;400
ER_400_30_9;400;400;400;400
ER_400_40_7;400;400;400;400
ER_400_50_4;124.33431155700237;108.39006649609655;107.92010570829734;0.12152892164885998
ER_400_60_5;32.397331858985126;24.522947758901864;24.571009126026183;1.0737365181557834
ER_500_100_5;0.2781249061226845;0.37392457108944654;0.3778576930053532;400
ER_500_60_5;127.36374839907512;142.93634674930945;143.94931577099487;0.06874179979786277
ER_500_80_6;4.493094487115741;4.288843540009111;4.290392874740064;0.07202847022563219
Large-result_b1;400;400;400;400
Large-result_b14;318.6028790711425;400;400;400
Large-result_b15;400;400;400;400
Large-result_b16;400;400;400;400
Large-result_b18;400;400;400;400
Large-result_b20;384.0684582768008;400;400;400
Large-result_b22;400;400;400;400
Large-result_b5;400;400;400;400
Large-result_b6;400;400;400;400
Medium-result_b1;4.839714118745178;4.389336669817567;260.7038607369177;400
Medium-result_b12;400;400;400;400
Medium-result_b17;2.1824470930732787;4.64139075903222;400;400
Medium-result_b19;2.5371079072356224;9.471945804078132;400;400
Medium-result_b21;9.01283254288137;45.856373836286366;400;400
Medium-result_b22;11.071515859104693;45.18126792181283;400;400
Medium-result_b26;9.012029581703246;31.754364457912743;400;400
Medium-result_b27;1.8848122917115688;5.960806083865464;400;400
Medium-result_b28;2.135846443939954;7.309558737557381;400;400
Medium-result_b29;6.052141681779176;25.39763672510162;400;400
Medium-result_b30;27.941723892930895;84.98676159791648;400;400
Medium-result_b4;57.7530278400518;84.84184220293537;400;400
Medium-result_b7;400;400;400;400
Medium-result_b8;400;400;400;400
Small-result_b26;0.0766675379127264;0.12359394505620003;12.313482150901109;400
Small-result_b27;0.07405640883371234;0.12419832590967417;12.318271678872406;400
WS_100_12_90_30;0.026594021823257208;0.02541895303875208;0.2250894852913916;0.023280493915081024
WS_100_18_30_10;0.03996670665219426;0.04033676162362099;0.03834007307887077;0.020828281994909048
WS_100_24_70_50;0.07529756892472506;0.07342164497822523;0.0708382478915155;0.0704890787601471
WS_100_24_70_70;0.07518409611657262;0.07351141795516014;0.07191041205078363;0.0723103741183877
WS_100_6_10_30;0.019803781062364578;0.025347291957587004;0.023517076391726732;0.023204199969768524
WS_100_6_10_50;0.01726737804710865;0.022930508945137262;0.02132702711969614;0.012592149898409843
WS_100_6_30_10;0.016919222194701433;0.01619688281789422;0.02222170913591981;0.012749826069921255
WS_100_6_70_70;0.01695958524942398;0.014496458228677511;0.022093346808105707;0.02287317020818591
WS_200_20_50_70;0.175389823038131;0.17095089005306363;0.17060994496569037;0.17241145391017199
WS_200_20_70_30;1.079139735084027;1.1772382659837604;1.1745253237895668;1.1757808672264218
WS_200_20_90_10;1.0300575657747686;1.0782147282734513;1.0774017409421504;1.0770105570554733
WS_200_28_70_10;1.8831857740879059;1.8309276178479195;2.2784723923541605;1.879735038150102
WS_200_28_70_50;3.741095202974975;3.7381987310945988;4.538628130685538;3.6860633841715753
WS_200_8_90_30;0.029725636821240187;0.02647708961740136;0.042025026865303516;0.04275107802823186
WS_300_8_10_70;0.02285301312804222;0.024190717842429876;0.022252751048654318;0.040054875891655684
WS_400_16_10_30;0.04075792012736201;0.04077428299933672;0.03697671974077821;0.04075890360400081
WS_400_24_30_10;1.93140043085441;1.679727089125663;1.7292509428225458;1.7286816518753767
WS_400_24_50_10;400;400;400;400
WS_400_32_30_30;66.42725910712034;74.09205954708159;73.59275719989091;73.7389624598436
WS_400_32_70_70;400;400;400;400
